제품명,제품소개,알콜도수,용량,성분,특이사항,특징,판매여부,양조장,양조장주소,홈페이지주소,수상경력
감자술 13%,"""감자술""은 국내 유일의 감자를 주원료로 만든 약주이다. 강원도의 특산품 감자를 발효시켜 빚은 술로 감자와 곡물이 어우러져 은은한 향이 풍미를",13,700ml,"국내산 백미, 국내산 감자, 누룩, 효모, 정제수",,살짝 갈아놓은 감자에서 느낄 수 있는 식감이 있다. 맑은 연두빛의 개성 있는 색깔에 담백한 단맛이 느껴진다. 너무 맵고 짠 음식은 자칫 감자술,Y,오대서주양조,강원도 평창군 진부면 영정게길57-1,http://www.pcwine.co.kr/main/index,
그리움,전통 차례주 그리움은 어떠한 첨가물도 들어있지 않고 질 좋은 경기미로만 만들어져 있어 명절 기름진 음식에 어울리는 담백한 차례주이다. 저온 발,14,700ml,"국내산 쌀, 누룩, 효모, 정제수",2017 찾아가는 양조장,,Y,술샘,경기도 용인시 처인구 양지면 죽양대로 2298-1,http://www.sulseam.com,
여민락주,"조선시대 임금님께 진상하던 여주쌀과 국산 누룩, 천연 암반수를 사용하고 전통발효기법을 이용하여 100일동안 3번의 숙성과 거르는 작업을 통해 ",16,500ml,"국내산 쌀, 누룩, 효모, 정제수",,,Y,여주육묘영농조합법인,경기도 여주군 가남면 연대리 566,,
지리산 강쇠,"순곡과 누룩을 60일 동안 전통 발효법으로 숙성시킨 후 지리산 약초 복분자, 오미자, 산수유, 하수오, 구기자, 산사 등의 약재 10여종과 빚",13,375ml,"정제수, 쌀, 누룩, 오가피, 산수유, 오미자, 정백당 ,구연산, 정제효소, 야관문",,"감자탕, 부침개",Y,농업회사법인(유)술소리,전라북도 남원시 노암동 843-1,https://sulsori.modoo.at/?link=biu8g67n,
심술 10,깔라만시와 자몽을 쌀과 함께 빚은 스파클링 라이스 와인이다. 열대 과일의 단맛과 새콤한 맛이 느껴진다. 적당량의 탄산이 주는 경쾌하고 깔끔한 ,10,330ml,"정제수, 옥수수전분, 기타과당, 백설탕, 주정, 젖산, 과채가공품, 이산화탄소,국,활성건조효모,아세설팜칼륨",,"육회, 해물파전, 피자",Y,배상면주가,경기도 포천시 화현면 화현리 512,http://www.sansawon.co.kr,
심술 7,블루베리와 포도를 쌀과 함께 빚은 스파클링 라이스 와인이다. 과일의 단맛이 은은하게 느껴지며 적당량의 탄산이 주는 경쾌하고 깔끔한 맛이 특징이,7,330ml,"정제수, 옥수수전분, 기타과당, 백설탕, 주정, 젖산, 과채가공품, 이산화탄소,국,활성건조효모,아세설팜칼륨",,"빵, 치즈, 과일",Y,배상면주가,경기도 포천시 화현면 화현리 512,http://www.sansawon.co.kr,
라이스퐁당,"부산 찹쌀과 누룩, 정제수를 사용해 찹쌀 이양주로 빚은 약주이다. 삼지구엽초와 감초 등 한약재를 우린 물로 빚어 풍미를 더했다. 전통방식의 저",13,500ml,"정제수, 찹쌀, 누룩, 삼지구엽초, 감초",,"생선회, 과일, 스테이크",Y,벗드림양조장,부산광역시 북구 만덕동 921-13번지 2층,https://smartstore.naver.com/butdream,
순향주,"고문헌의 청주 제조법을 &quot;오양주&quot; 방식으로 재현해낸 술로, 원재료 특유의 고소한 곡물향과 진한 맛을 느낄 수 있다. 묵직한 ",15,375ml,"쌀, 누룩, 정제수",,"돼지고기수육, 해산물요리",Y,추연당,경기도 여주군 가남읍 금당리 531-2,https://smartstore.naver.com/chuyondang,2020 대한민국 우리술품평회 약청주 우수상
지란지교,"순창에서 농사 지은 찹쌀과 멥쌀, 전통 누룩과 순창 암반수로 만든 생탁주로 일체의 첨가물 없이 빚어진 술이다. 술에 단맛과 산미가 조화로우며 ",17,500ml,"찹쌀,멥쌀,전통누룩(밀),정제수",,"육전, 고기산적, 양념 불고기류",Y,(유)친구들의 술 지란지교,전라북도 순창군 순창읍 순창7길 5-1,,
복순도가 약주,비옥한 토양에서 자란 국내산 쌀 100%에 누룩을 직접 띄워 좋은 재료 그대로 빚어내 깨끗한 맛과 향을 지녔다. 인공 첨가물이 없고 살균처리를,10,750ml,"정제수, 쌀(국산), 곡자(밀)",2018 찾아가는 양조장,"기름진 방어나 신선한 석회와 같은 겨울철 해산물과 궁합이 좋으며 육전, 등심 스테이크와 같이 진한 맛의 고기류, 치즈류와도 잘 어울린다. 또한",Y,복순도가,울산광역시 울주군 상북면 향산리 439,http://www.boksoon.com/,
