제품명,제품소개,알콜도수,용량,성분,특이사항,특징,판매여부,양조장,양조장주소,홈페이지주소,수상경력
선희 10,"선희10은 항아리에서 100일 동안 저온 발효 숙성하는 오렌지 ,충주 사과 막걸리입니다.",10,330ml,"정제수,참쌀(국내산),멥쌀(국내산),사과(국내산),고구마(국내산),오렌지(미국산),누룩(국내산)",,"떡볶이,피자,양념치킨.",Y,중원당,충주시 중앙탑면 탄금대로 626,http://www.xn--v42bo8x7wc.com/main/index.php,
청명탁주,청명탁주는 일체의 첨가물 없이 찹쌀과 누룩으로만 만들었습니다.기존의 청명주와 달리 구멍떡으로 밑술을 빚는데 다른 밑술에 비교하면 쉽지 ,12,375ml,"국내산 찹쌀, 국내산 누룩, 국내산 소맥분",,"양념육, 돼지갈비 등이 잘 어울립니다.",Y,중원당,충북 충주시 가금면 창동리 243,http://www.청명주.com/,
마크홀리 핑크,국내산 쌀과 전통 누룩 대신 맥주 효모를 사용해서 빚은 생 막걸리입니다.,10,500ml,"정제수,쌀(김포산),국,산도조절제,효모",,,Y,홀리워터,"서울특별시 성동구 성수일로4길 10 (평화기업사) 지하1층, 1층(성수동1가) (우 : 04780)",https://smartstore.naver.com/markholy,
담은 블랙,"담은은 특유의 부드럽고 달콤한 맛을 내기 위해 생쌀 그대로 발효하는 담은만의 수제 공법을 고집하고 있으며 쌀이 주는 고유의 맛과 질감,그리고 ",6.5,750ml,"정제수,흑미,쌀(국내산),젖산효모,기타과당,정제효소제",,전,Y,포천일동막걸리,"경기도 포천시 일동면 운악청계로 1597, 2층",https://smartstore.naver.com/1932,
ULSSIGO 얼씨고,얼씨고는 100% 천연 재료만 사용하여 만든 한국식 리큐르입니다.3번 정제를 통해 목 넘김이 부드러워 특유의 맛과 향을 은은하게 즐길 수,30,750ml,"정제수, 주정, 헛개나무열매, 키위열매, 천연향료, 구연산(무수), 효소처리스테비아, 올리고당",,"피자, 파스타, 스테이크 등 파티음식, 육류, 해산물 등 각종 다양한 음식에 감칠맛을 더해줍니다.",Y,까치설,전남 장흥군 장동면 석교상방이길 165,https://까치설.com/,
주향이오,주향이오는 부드럽고 새겅이 강하지 않으며 주향담을은 약간의 단맛에 은은한 향이 납니다.,25,375ml,"쌀(국내산),국,효모,정제수,정제효소",,"문어숙회 ,송어회",Y,담을술공방,충청북도 충주시 엄정면 신만리 211-34,https://dameul6267.modoo.at/,
농태기,"알싸한 고추씨의 스파이시한 맛과 구수한 누룩의 향미,특유의 산미로 끝맛이 깔끔합니다.",25,300ml,"정제수, 쌀(국산 충북음성 다올찬쌀)",,"꼬치류,전,부침개.육류 등등 ..",Y,하나도가,충청북도 음성군 금왕읍 대금로1851번길 9 1층 하나도가 (우 : 27626),https://smartstore.naver.com/hanadoga,
하늘아래서,"숙성된 단감와인을 감압증류하여 부드러우면서 깨끗하고,100% 국내산 단감의 고유한 향과 풍부한 맛을 담아낸 증류주입니다.",24,375ml,"단감증류원액,정제수",,,Y,,,,
청춘7도,청춘 7도는 청주의 청원생명쌀[특등급]로 만든 막걸리입니다. 부담스럽지 않은 단맛과 막걸리 특유의 바디감이 특징입니다.,7,500ml,"정제수, 쌀(국내산), 국(밀함유), 효모",,매콤한 한식과 잘 어울립니다.,Y,청해주조,충청북도 청주시 상당구 무심동로336번길 97 1층,https://smartstore.naver.com/blueboarbrewery,
모을동주 소주,"주정에 감미료를 타서 만든 저렴한 희석식 소주가 아닌, 술덧을 증류한 그대로를 담은 오리지널 증류식 소주입니다.",43,375ml,"물, 쌀(철원군), 국, 효모, 밀함유",,"버섯 전골 ,차돌박이 숙주 볶음.",Y,대작영농조합법인,강원도 철원군 동송읍 이평로34번길 20-28,https://blog.naver.com/daejak_ricewine,
비왈츠 로지,비왈츠 로지는 국내 최초로 만들어진 로도멜(미드+장미 꽃잎)입니다.춘천에서 양봉한 아카시아 벌꿀과 유기농 장미가 들어가 싱그럽고 달콤한 맛,8,500ml,"벌꿀(국산), 유기농건조장미잎(국산), 정제수, 효모, 효모영양제, 구연산",,"카프레제 샐러드,문어 샐러드, 스테이크 타르타르, 크루아상",Y,미더리봉자,강원도 춘천시 소양고개길 6 미더리봉자 (우 : 24272),https://smartstore.naver.com/beewaltz,
사일로 막걸리,사일로 막걸리는 3번의 담금 과정을 거친 삼양주입니다.원재료 이외의 어떠한 첨가물도 들어가지 않은 막걸리입니다.,10,500ml,"찹쌀(국내산), 멥쌀(국내산), 개량누룩, 정제수",,,Y,사일로 브루어리,세종시 연동면 청연로 716,https://silobrewery.co.kr/,
달 15%,"은은한 단맛과 산미가 조화로우며,풍부한 꽃향기와 깔끔한 피니쉬가 특징입니다.",15,375ml,"쌀(화성시), 누룩(국내산), 정제수",,,Y,술로우,경기도 화성시 마도면 마도로609번길 16-1 1동 술로우 (우 : 18541),https://smartstore.naver.com/sulow_brewery,
형형40,상상 이상의 부드러운 목넘김과 고유한 쌀 향을 머금은 깔끔한 증류주입니다.,40,500ml,증류원액(경기도 친환경 쌀100%).정제수,,"갈비찜,전골요리",Y,농업회사법인 (주)온증류소,경기도 광주시 봉골길134번길 42-7 (우 : 12774),https://smartstore.naver.com/distilleryon,
연연 25,쌀 소주에 깨의 향을 더하여 두 번 내린 증류주입니다.,25,300ml,증류원액(경기도 친환경 쌀100%).정제수,,"생선회,두부 요리,산채 요리",Y,농업회사법인 (주)온증류소,경기도 광주시 봉골길134번길 42-7 (우 : 12774),https://smartstore.naver.com/distilleryon,
호심,호심은 찹쌀 없이 멥쌀 100%로만 만들어서 담백합니다. 새콤달콤 깔끔한 단맛입니다.,17.5,375ml,"쌀(경기미), 국, 효모, 정제수",,제육볶음,Y,농업회사법인제이앤제이브루어리,경기도 용인시 처인구 양지면 남평로 114,https://smartstore.naver.com/jjbrewerykorea,
와구리 막걸리 세미스위트,은은한 쌀꽃향이 나는 가볍고 부드러운 막걸리입니다.,5,480ml,"정제수,쌀(국내산),입국,누룩,효모,정제효소제,기타과당(옥수수전분100%)",,"한식,육류,식사류.",Y,,,,
긴밤을 지나,깔끔한 맛과 부드러움이 특징인 청주를 베이스로 향긋하고 매력적인 석류향을 더한 전통주입니다.,12,360ml,"정제수,주정,청주,정백당,구연산,석류향,아세셀팜칼륨,식용색소 적색40호",,,Y,더한주조,서울시 은평구 증산로7길 28-13,https://www.thehan.kr/,
바람한줌 달빛한줌,산들벗에서 제조하는 머루와인와 머루주 등 과실주는 해발 300미터 이상 고랭지에서 재배된 산머루를 발효시켜 맛과 향이뛰어나며 색이 매우 아,12,750ml,"머루(국내산),설탕,효모,소르빈산칼륨(합성보존료),산성아황산나트륨(산화방지제)",,"치즈,과일,야채,파스타,까나페,브루스케타.",Y,산들벗,전라북도 무주군 적상면 사천리 205,https://smartstore.naver.com/sd_associates,
PODO 포도,전라북도에서9월 수확한 캠벨포도를 발효하여알콜 9도로 가볍게 달달하게 즐기실 수 있는수제와인입니다.,9,750ml,"정제수,포도(국내산)42.694%,설탕,주정,올리고당,효모",,"디저트 류 (케이크, 과자류)",Y,내변산 양조장,전라북도 부안군 행안면 부안농공단지길 14-11 (내변산) (우 : 56303),https://smartstore.naver.com/odwine,
소계리595 드라이,캠벨의 상큼함을 느낄 수 있는 와인입니다.,12,750ml,"포도(국내산),설탕,효모,메타중아황산칼륨(산화방지제),아황산함유 소브산칼륨(보존료)",,"삼겹살,스테이크,케이크",Y,소계리와인,충청북도 영동군 추풍령면 은편길26,https://smartstore.naver.com/sokyeriwine,
숲향벼꽃 술도깨비,"숲향벼꽃 술도깨비는 단일 발효국이 아닌 특허 등록된 된 표고균사체배양미,인삼을 활용한 약용국,개량누룩 등을 배하는 비법으로 빚어 오감의 풍미,",5.8,500ml,"정제수, 찹쌀(한국), 멥쌀(한국), 국(한국/쌀, 밀), 식물(한국:헛개열매, 국화, 표고, 여주, 감초), 조제종국, 정제효소, 효모, 아스타팜(합성감미료, 페니알라닌함유)",,,Y,까치설,"전라남도 장흥군 장동면 석교상방이길 165, 까치설",https://smartstore.naver.com/magpieyear,
BURNT 번트,번트 보리25는 한국 최초의 볶은 보리 소주입니다.숨쉬는 항아리에서 숙성된 소주는 목넘김이 부드럽고 원재료의 향과 맛이 살아있는 것이 특징입니,25,375ml,"메밀(강원도 양양산100%)증류원액,정제수",,"육류,생선회,오뎅탕,조개찜",Y,브리즈앤스트림,강원도 인제군 기린면 조침령로 1628 (브리즈앤스트림) 1층 (우 : 24653),https://smartstore.naver.com/breeze_n_stream,
선산 베이직,"순곡주로 산미,은은한 여러 진한향을 느끼실 수 있는 깔끔한 샴페인 같은 단양주입니다.",6,700ml,"쌀(선산찹쌀100%),누룩(국내산),효모,정제수,",,"제철 해산물 요리,파스타 요리,간단한 견과류",Y,선산주조,경상북도 구미시 봉곡동로2길 13-1 101호 선산주조 (우 : 39206),https://smartstore.naver.com/theseonsan,
폭스앤홉스,"국내산 재료로 만든 전통주,국산재료만 사용하여 황금빛색의 술에 국내산 홉의 잔향,꽃향기를 맡을 수 있고, 적당한 탄산감으로 충분한 청량감을 느",9,500ml,"쌀(국내산/지역햅쌀 100%), 입국, 홉(국내산 0.31%),정제효소제, 효모, 정제수",,,Y,,,,
탱자 C,"탱자-씨 증류주는 술의 품질을 위해 증류중 초류, 후류를 과감 하게 제거하여 본류에만 충실한 증류주이며 평균 4개월의 숙성 과정과 5회의 숙성",23,375ml,"증류원액[김해산 햅쌀100%, 진영단감 발효수(28.5%),자연야생탱자(22.5%), 누룩(밀함유,국내산)], 정제수, 효모",,"족발,골뱅이무침,물김치",Y,농업회사법인(주)가야양조장,대한민국 경상남도 김해시 한림면 46번길 79-1,https://shopping.naver.com/fresh/traditionalalcohol/stores/102132925,
멜라 탠저린 과하주 13도,"멜라는 약주에 소주를 더한 과하주입니다. 여름을 나는 술 이라는 뜻인데요, 이름만큼 더위에 강해서, 무더운 여름에도 잘 변하지 않는다는 강점을",13,750ml,"정제수,기찬쌀(국내산),조(좁쌀(국내산)),설향곡누룩(기찬쌀(국내산),우리밀(국내산))증류주원액(기찬쌀,향온곡),벌꿀(국내산),한라봉과즙(국내산),",,"고소한 치즈, 타코, 떡볶이, 과일 등 다양한 음식에 잘 어울린답니다",Y,한통술 HANTONGSOOL,경기도 동두천시 쇠목길 325-2 B/D 전관 (우 : 11322),https://smartstore.naver.com/hantongsool,
천사의 선물,국내산 배과실을 베이스로 산삼을 배양해 만든 산삼양근을 넣은 과실주입니다.,17,375ml,"정제수, 배(국내산), 설탕, 효모, 주정, 과당, 구연산, 사과산, 생체산삼배양근 0.119%",,"삼계탕,전골 ,국물류",Y,내변산 양조장,전라북도 부안군 행안면 부안농공단지길14-11,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068999,
민주허브막걸리,"민주허브막걸리는 인공 첨가물 대신 허브를 사용했기 때문에 허브의 향긋함과 깊은 맛을 강조했습니다.특히 잉글리쉬 라벤더와 로즈마리, 레몬",14,500ml,"쌀(국내산-포천 으뜸쌀), 허브(국내산-포천), 누룩(국내산), 정제수",,,Y,농업회사법인 민주술도가 주식회사,경기도 포천시 소흘읍 거친봉이길 58-35 나동 민주술도가 (우 : 11183),https://smartstore.naver.com/minjusool,
온지 쑥,치 생쑥을 씹는 거처럼 쑥의 향이 강렬하게 느껴지는 이 술의 이름은 온지 쑥입니다.60일의 발효과정과 30일의 숙성기간을 거쳐 지게미와 쑥,10,500ml,"정제수, 찹쌀(국내산), 고구마, 감자, 쑥, 누룩(밀 함유)",,"맑은 국물의 탕 요리나 미나리전,담백한 흰살생선과도 잘 어울립니다.",Y,온지술도가,서울특별시 은평구 통일로65길 26 (해피플러스2) 지하1층 (우 : 03397),https://smartstore.naver.com/onzisuldoga,
지리산 허브잎 술,지리산 허브잎술은 지리산 바래봉 해발 500m 높이에 위치한 지리산 운봉주조에서 탄생했습니다.단맛이 적고 은은하게 느껴지는 산미가 아주 매력적,6,750ml,"쌀(국내산), 종국, 정제수, 누룩, 효모, 국내산 허브",,,Y,,,,
너디블랑,너디블랑에 들어간 타임이 생선의 비릿함은 잡아주고로즈마리의 향긋함이 풍미를 높여주기 때문에 생선요리와 아주 잘 어울립니니다.,5,700ml,"정제수, 찹쌀(국산), 로즈마리, 타임, 누룩, 효모, 정제효소",,생선요리,Y,상주주조,경상북도 상주시 남성로 73-15 1층 (우 : 37196),https://smartstore.naver.com/nerdbrew,
무박이일,밤의 빗장을 열어주는 문이란 뜻으로 야관문을 먹으면 천리 밖에서도 빛이 보인답니다.화학적 알코올을 일절 사용하지 않고 오직 누룩이 자연,14,375ml,"전조비수리(야관문), 정제수, 포도당, 효모",,"삼계탕,족발.",Y,왕지케양조장,제주특별자치도 제주시 한경면 고산로2길 22-13 (고산1리 다목적회관) 왕지케양조장 (우 : 63008),https://smartstore.naver.com/jedia,
만다린약주,인공 감미료 없이 국내산 쌀과 제주 시트러스로 빚은 지역특산주입니다.제주섬이 천천히 걸러낸 맑은 화산암반수와 국내산 햅쌀로 두 번 술은,12,375ml,"정제수, 멥쌀(국내산), 감귤농축액, 진피(감귤껍질), 귤꽃, 한라봉과피, 당유자 과피, 계피, 밀누룩(우리밀)",,해산물요리,Y,제주곶밭,제주특별자치도 제주시 제주대학로 102 (제주대학교) 바이오융합 2호관 208호 (우 : 63243),https://smartstore.naver.com/jeju_gott_batt,
단상지교,인공 감미료를 넣지 않아 삼양주 특유의 풍부한 맛과 향이 특징입니다.,16,750ml,"쌀, 찹쌀, 누룩, 종국, 정제수",,"생선회,파전,빈대떡,육회,도토리묵무침",Y,신탄진주조,대전광역시 대덕구 신탄진로738번길 128 (농)신탄진주조㈜ (우 : 34336),https://smartstore.naver.com/deadeokju,
선셋 체리스파클링,"농촌진흥청에서 개발한 분질미로 술을 빚어 100일간저온숙성을 거쳤고, 국내산 체리가 들어갔기 때문에고소함과 함께 강한 체리 향을",5,300ml,"정제수, 멤쌀, 체리, 누룩",,팝콘이나 스낵류,Y,시향가,전라남도 곡성군 곡성읍 낙동원로 20 시향가 (우 : 57533),https://smartstore.naver.com/sihyangga,
포엠 드라이,오크에 숙성했기 때문에 깊은 향과 맛을 가지고 있답니다.색은 루비처럼 붉은빛을 띠며 약간의 단맛이 입안을 감싼 후에 상큼한 신맛으로 마무리,12,750ml,"머루, 포도, 백설탕, 효모, 메타중아황산칼륨, 아황산함유",,레드와인이기 때문에 육류와 함께 드시는 것을 추천드리며 식사를 할 때 곁들여 마시는 것이 좋다고 합니다.,Y,갈기산포도농원,충청북도 영동군 학산면 모리1길 23 (우 : 29164,https://smartstore.naver.com/galgisanwine,
홍시 와인 감 화이트,"오크숙성으로 바닐라 향,훈제 향,코코넛 향도 느낄 수 있습니다.",12,750ml,"홍시(국산)100%,백설탕,효모,메타중아황산나칼륨,소르빈산칼륨(산화방지제),",,돼지고기,Y,림프루츠영농조합법인,충북 영동군 영동읍 어미실길 92,,
숨은골 탁주,"지역(완주 동상면)찹쌀과 누룩,물로만 빚은 1번 발효한 단양주입니다.부드러운 단맛과 상큼함을 담았으며 마시는 잔마다 맛과 향이 달라지는 재미가",12,500ml,"찹쌀 28.9%, 누룩 2.9%, 정제수 68.2%",,"차돌박이 숙주볶음,백김치,고추전,과일",Y,주식회사 공동체공간 수작,"전라북도 완주군 동상면 단지길 37, 1층",,
이상헌 탁주,"곡물의 향이 좋고 적당한 단 맛과 드라이한 맛,부드러운 목 넘김을 좋습니다.",14,500ml,"아산쌀, 국(국내산 밀누룩), 정제수",,"불고기,꼬막 무침,김치찜,모든전",Y,이가수불,충청남도 아산시 도고면 기곡로77번길 30-7 (우 : 31551),https://smartstore.naver.com/leegasubul,
대잎술,추성고을 대잎술은 7여가지의 한약재가 들어가 저온숙서을 하여 부드러움과 함께 각종 한약재들이 조화롭게 맛을 내며기분을 좋게 하는 옅은 ,12,300ml,"정제수, 쌀(국내산), 누룩(국내산), 죽력, 대입, 효모, 구기자, 진피, 갈근, 오미자, 육계, 솔잎, 올리고당",,"치즈,과일,케이크,돼지고기 .",Y,추성고을,전라남도 담양군 용면 추령로 29,https://smartstore.naver.com/cs3011,
천년담주,친환경쌀로 장기저온발효과정을 거쳐 국내산 천연벌꿀 원료로 빚었습니다.인공감미료가 첨가되지않아 깔끔하고 감칠맛이 뛰어납니다.,15,500ml,"정제수,백미(국내산,유기농쌀),누룩,벌꿀(국내산),효모",,전,Y,죽향도가,전라남도 담양군 담양읍 외다길 30 (우 : 57333),https://smartstore.naver.com/jhdg,
써드 (3rd),"오직 쌀이 주는 은은한 단맛과 과하지 않은 과실형,입안에 감싸는 부드러운 텍스쳐와 목넘김이 특징입니다.",9,500ml,"정제수,찹쌀(국내산파주),멥쌀(국내산파주),누룩(밀함유) (국내산김포)",,,Y,도반주조,"경기도 파주시 금정 12길4 1층,도반주조",https://smartstore.naver.com/dovan_brewery/,
동백 꽃이 피었습니다,100% 부산쌀로 누룩과 정제수만을 사용하며 제조 하였습니다.첨가제 및 감미료가 들어가지 않고 저온 발효로 찹쌀의 깊은 풍미를 느낄 수 있습니,9,500ml,"멥쌀(국내산), 찹쌀(국내산), 누룩, 정제수",,,Y,동백1917,농업회사법인 주식회사 동백1917,https://smartstore.naver.com/busandongbaek1917/products/9194545227?,
맵시 막걸리 화이트,"24시간 합 720시간 이상의,7차례의 과정을 지닌 품질 검증을 끝낸 최고금 백국 누룩이기에 일반 전통주에서 맛볼 수 없던 특유의 감칠맛을 맛",6,770ml,"정제수,쌀(국내산),기타과당,누룩,효모,효소제,아스파탐",,,Y,기억브루어리,경기도 김포시 하성면 누산봉성로237번길 163 3동 (우 : 10013),https://smartstore.naver.com/mapcykorea,
맵시 막걸리 레드라벨,상큼한 레몬바닐라의 맛을 즐길 수 있는 새콤한 맛입니다.,5,770ml,"정제수,쌀(국내산),기타과당,소다맛시럽,물엿,",,,Y,기억브루어리,경기도 김포시 하성면 누산봉성로237번길 163 3동 (우 : 10013),https://smartstore.naver.com/mapcykorea,
맵시 막걸리 블랙라벨,고집스러운 전통방식을 통해 귀하게 만들어진 집중도 높은 전통주입니다.,10,750ml,"정제수,쌀(국내산),누룩,효소제,효모",,,Y,기억브루어리,경기도 김포시 하성면 누산봉성로237번길 163 3동 (우 : 10013),https://smartstore.naver.com/mapcykorea,
복순도가 찹쌀탁주 9도,참쌀에서 배어나온 단맛이 기분 좋게 혀를 감돕니다.영양가 높은 찹쌀의 찰기는 더욱 깊고 진한 맛을 선사합니다.,9,935ml,"정제수,찹쌀(국산).27.4%,곡자(밀)",,"고소한 전 ,튀김류,해산물요리.",Y,,,,
우곡소주,감미료를 전혀 넣지 않고 오직 쌀과 누룩으로만 빚은 한국 전통 증류식 소주입니다.,25,375ml,"쌀소주원액(쌀(국내산), 국, 효모, 젖산, 물), 물",,파스타.회/육회 등 ..,Y,,,,
로아 포르토,국내산 햅쌀과 특허받은 누룩을 정성을 담아 끓여 증류하고 오크통에 숙성한 진짜 소주입니다.배도가 로아 포르토는 국내 최초 포르투 포도주 오,40,700ml,쌀소주원액(쌀(국내산),,견과류.,Y,,,,
호땅,"호땅은 국내산 쌀로만 빚어냅니다. 또, 일반 막걸리와는 다르게 쌀을 찌지 않고, 생 쌀을 갈아서 만드는 생쌀발효법으로 제조합니다",6,750ml,"물,쌀(국내산),고과당,국(밀),합성향료(호두향,두유향,커피땅콩향),땅콩(국내산),효모,젖산(산도조절제), 효소처리스테비아 (밀,땅콩함유)",,"족발,회,닭볶은탕...",Y,,,,
가무치 43%,감압식 소주와 비교하여 상압식 소주는 향이 다채롭고 화려하다는 특징이 있습니다.하지만 자칫 탄내취나 누룩취가 과하게 두드러질 수 있다는 단점이,43,375ml,"정제수, 쌀(국내산), 입국, 효모",,,Y,다농바이오,충청북도 충주,https://smartstore.naver.com/danongbio,
너디로제,"체리의 풍부함과,애플민트의 시원한 향이 만드는 환상의 하모니의 새콤달콤한 막걸리입니다.",5.5,700ml,"너디로제:정제수, 찹쌀, 체리, 효모, 정제효소",,"체리빵,각종 디저트류,파스타.",Y,상주주조,경상북도 상주시 남성로 73-15 1층 (우 : 37196),https://smartstore.naver.com/nerdbrew,
너디펀치,"참쌀의 부드러운 단맛과 최적의 발효온도로 구현한 청량한 산미,저온 숙성을 통한 풍부한 과실향,상큼한 피니쉬가 조화롭습니다.",5,700ml,"정제수, 찹쌀, 효모, 정제효소",,과일.,Y,상주주조,경상북도 상주시 남성로 73-15 1층 (우 : 37196),https://smartstore.naver.com/nerdbrew,
너브내 화이트(dry) 와인,향긋한 포도의 향기가 나는 건강한 포도와 강원도 홍천의 맑은 공기와깨끗한 환경이 만나 샤또나드리만의 너브내 스파클링 화이트가 만들어 집,12,750ml,"국산 포 도효모, 설탕, 아황산나트륨, 수트랄로스, 자일리톨",,"한식.생선회,초밥..",Y,샤또나드리,강원도 홍천군 서면 팔봉산로 811-28 . 샤또나드리 / 너브내와인 (우 : 25101),https://smartstore.naver.com/nwine,
블링블링 노을별,"블링블링 노을별은 영덕 바다의 은하수를 담아낸 우주 술로,포도의 향과 맛이 조화롭게 어우러져 달콤함을 선사합니다!아름다운 비주얼",15,375ml,"정제수, 포도과육(국내산100%)증류원액, 정백당, 효소처리스테비아, 포도향(천연향료)",,"파스타,피자,샐러드..",Y,영덕주조,경북 영덕군 강구면 소월1길 16-10,https://smartstore.naver.com/yeongdeok,
P.S 샤인 스파클링,"‘포도의 왕’ 샤인 머스캣 품종으로 양조한 피에스 샤인 스파클링은은한 꽃향과 달콤한 망고향이 어우러진,디저트 와인으로 손색없고 ",5,750ml,,,,Y,시나브로 와이너리,충청북도 영동군 심천면 약목2길 23,,
P.S 애플 시드르,과일의 고장 영동에서 재배한 사과로 양조한 피에스 애플 시드르는 상큼하면서 새콤달콤한 맛과 향으로사과 한 알을 베어 문 듯한 기,5,750ml,,,,Y,,,,
바야흐로,시나브로 와이너리에서 직접 양조한 와인을 증류해 만든 술입니다.한 해에 약 500병만 생산합니다.기존의 증류주와는 다른 특별한 ,40,500ml,증류주 원액,,,Y,시나브로 와이너리,충청북도 영동군 심천면 약목2길 23,https://www.bhwinery.com/index,
바야흐로 오크,화려한 꽃향과 과일향과 오크향의 조화를 느낄 수 있다. 포르투갈산과 국내산 오크를 사용하여 단맛과 신맛이 어우러진 균형감을 느낄 수 있다.,40,500ml,증류주 원액,,,Y,시나브로 와이너리,충청북도 영동군 심천면 약목2길 23,https://www.bhwinery.com/index,
춘풍 미주,"춘풍 미주는 윗술과 아랫술로 나뉘어져 있습니다. 맑은 윗술은 은은한 단 맛과 정돈된 산미, 약간의 쌉쌀함이 조화롭습니다. 진한 아랫술은 바닐라",12,375ml,"멥쌀, 찹쌀, 효모, 입국, 누룩, 정제수 (모두 국내산)",미주는 꼭 세워서 냉장고에 보관해주세요. (※보관 온도는 0도~5도 사이),"제철 회, 해산물찜, 갈비찜, 소, 돼지 바베큐, 장어 구이, 이태리 마르게리타 피자, 해산물 리조또, 태국식 허브를 곁들인 새우 구이, 볶음",Y,춘풍양조장,서울 중구 다산로 101-3 1F,https://www.chunpoong.co.kr/,
경탁주 12도,"첫 모금에서는 향긋한 사과, 배의 과실향과 새콤달콤한 요거트 맛이 연상되며, 마지막에 느껴지는 드라이한 술 맛이 조화롭다. 본연의 맛은 묵직하",12,500ml,"쌀(국내산), 정제수, 국(밀함유), 효모, 산도조절제",,"수육&amp;김치, 브리치즈, 제철회",Y,제이1 농업회사법인㈜,경기도 수지구 광교중앙로 338 에이동 105호,https://smartstore.naver.com/j1inc,
대몽재 1779 생막걸리 12,원재료의 맛과 향을 가장 진하게 느낄 수 있다. 높은 질감의 바디감은 산미가 강하게 느껴지기보다 적절한 당도로 입안 가득히 묵직하게 생막걸리 ,12,750ml,"쌀, 누룩, 정제수",,"한국 가정식 탕. 고기찜, 전 등 기름진 음식",Y,경주교촌도가 영농조합법인,경상북도 경주시 교촌안길 25,https://smartstore.naver.com/1779choi,
콘체르토 1번,탁주 ‘콘체르토 1번(No.1)’은 부담 없는 6% 저도수 막걸리입니다. 민주술도가에서 직접 제조한 쌀누룩을 사용하는 것이 특징입니다. 포천 ,6,500ml,"찹쌀, 쌀, 쌀누룩, 효모, 정제수",,"닭발, 족발",Y,농업회사법인 민주술도가 주식회사,경기도 포천시 소흘읍 거친봉이길 58-35 나동 민주술도가,https://smartstore.naver.com/minjusool,
글린트(GLINT),"신선한 딸기를 한입 베어문듯 상큼한 딸기향이 입안 가득 느껴지며, 증류원액의 깊고 묵직함에 새콤 달달함이 더해져 코냑의 깊은 맛과 와인의 달달",15,750ml,"쌀(국내산), 딸기(논산)",,"해산물, 스테이크, 파스타, 피자 등 메인요리. 하몽, 치즈, 케이크, 쿠키 등 가벼운 디저트",Y,농업회사법인(주)글린트증류소,서울특별시 강남구 영동대로122길 41 (삼성동),https://glint1968.com/,
술숲,청정 제주 특산물 알로에로 빚은 술. 제주 감귤증류원액을 더해 깨끗하고 감미로움을 더함. 상쾌하고 깔끔한 목넘김.,19,375ml,"정제수, 감귤(제주산)증류원액, 알로에(제주산)농축액, 곡물주정",,"갈치조림, 딱새우 회, 순대볶음, 삼겹살",Y,농업회사법인 ㈜제주왕지케양조장,제주특별자치도 제주시 한경면 고산로 2길 22-13,https://www.suulsuup.com/,
주연향 화이트,"깔끔하고 청량한 목넘김과 가벼운 산미가 감도는 부드럽고 풍부한 맛과 바닐라 향, 과실향, 꽃 향 등이 특징이며 부드럽고 신선한 향과 맛을 즐기",15,375ml,"강화섬쌀(강화쌀,강화찹쌀), 정제수, 누룩(국내산, 밀함유)",,"샐러드, 불고기",Y,농업회사법인 주식회사 주연향,인천광역시 강화군 송해면 당골길 75-26 1층,https://smartstore.naver.com/juyeonhyang,
주연향 레드,"가벼운 산미와 깊고 풍부한 맛, 과실향, 꽃향 등이 부드럽고 신선한 향과 맛.",15,375ml,"강화섬쌀(강화쌀,강화찹쌀, 강화찰흑미), 정제수, 누룩(국내산, 밀함유)",,"참치회, 훈연 삼치회, 방어회",Y,농업회사법인 주식회사 주연향,인천광역시 강화군 송해면 당골길 75-26 1층,https://smartstore.naver.com/juyeonhyang,
야수 S 53,"해풍 맞고 자란 강화섬 쌀과 강화 고구마, 전통 누룩 등 자연의 재료로만 빚은 고구마 소주.",53,375ml,"고구마 증류주원액(강화섬쌀, 강화 고구마 100%)",,"육회, 삼겹살",Y,농업회사법인 주식회사 주연향,인천광역시 강화군 송해면 당골길 75-26 1층,https://smartstore.naver.com/juyeonhyang,
야수 R 53,"해풍 맞고 자란 강화섬 쌀과 찹쌀, 교동의 차조, 전통 누룩 등 자연 재료로 빚은 증류주. 풍부한 향과 부드러운 맛이 특징.",53,375ml,"쌀 증류주원액(강화섬쌀, 찹쌀, 차조), 누룩(국내산), 정제수",,"튀김류, 버섯 요리",Y,농업회사법인 주식회사 주연향,인천광역시 강화군 송해면 당골길 75-26 1층,https://smartstore.naver.com/juyeonhyang,
야수 G 53,"해풍 맞고 자란 강화섬 쌀과 찹쌀, 강화 6년근 인삼, 전통 누룩, 정제수로 빚은 증류주. 깔끔하고 부드러운 맛과 강화 인삼의 풍미",53,375ml,"인삼 증류주원액(감화섬쌀, 찹쌀, 강화 6년근 인삼 100%), 누룩(국내산), 정제수",,오리고기,Y,농업회사법인 주식회사 주연향,인천광역시 강화군 송해면 당골길 75-26 1층,https://smartstore.naver.com/juyeonhyang,
빙그르술이춤추다,"새콤한 맛, 단맛, 쌉쓰름한 맛, 곡식향이 천연 탄산감과 어우러져 풍부한 맛을 느낄 수 있다.",12,500ml / 900ml,"국내산 찹쌀, 누룩, 암반수",,"두부김치, 모듬전",Y,달빛술래,경기도 양평군 서종면 길곡2길 28 (문호리),https://dalbitsuul.modoo.at/,
